MC1	MC2	MC3	Code	PRIO	DEFINITIE
Brand	Buiten	Afval/Rommel	brbtar	2	Brandmelding van afval/rommel. Geen grote als industrieel aangemerkte objecten met opslag van afval. Rommel betreft die goederen die geen of weinig waarde hebben, buiten staande/opgeslagen gebruiksgoederen. 
Brand	Buiten	Berm/Ruigte/Bosschage	brbtbb	2	Brandmelding van begroeiing op een terrein dat op gebruiks-/natuurkaart en of in GMS NIET als bos heide veen of riet gebied aan te merken is.
Brand	Buiten	Container	brbtct	2	Brandmelding van, in principe alleen voor opslag van afval of goederen bedoelde, containers/bakken. De containers zijn bedoeld om menselijke activiteiten daarin te laten plaatsvinden (toilet-, douche-, schaftcontainers en dergelijke), en vallen onder gebouwen of kleine opstal.
Brand	Buiten	Industrie	brbtid	2	Brandmelding van industrieel aangemerkt terrein.
Brand	Gebouw		brgb	1	Brandmeldingen van/in gebouwen die niet vallen onder industriegebouwen of speciale scenario's. Een gebouw is elk vast of verplaatsbare, maar niet mobiel overdekte constructie, waarbinnen zich bij normaal gebruik of onderhoud mensen kunnen bevinden.
Brand	Gebouw	01 Woning/Woongebouw	brgb01	1	Gebruiksfunctie voor het wonen. Woongebouw: gebouw of gedeelte van gebouw waarin twee of meer woonfuncties zijn ondergebracht, die zijn aangewezen op een of meer gemeenschappelijke verkeersroutes.
Brand	Gebouw	02 Bijeenkomst	brgb02	1	Gebruiksfunctie voor het samenkomen van mensen voor kunst, cultuur, godsdienst, communicatie, kinderopvang, verstrekken van consumpties voor het gebruik ter plaatse en aanschouwen sport
Brand	Gebouw	03 Cel	brgb03	1	Gebruiksfunctie voor dwangverblijf van mensen. Cellengebouw: gebouw of gedeelte van gebouw waarin twee of meer celfuncties liggen, die zijn aangewezen op een of meer gemeenschappelijke verkeersroutes
Brand	Gebouw	04 Gezondheidszorg	brgb04	1	Gebruiksfunctie voor medisch onderzoek, verpleging, verzorging of behandeling
Brand	Gebouw	05 Agrarisch	brgb05	1	Gebruiksfunctie voor het bedrijfsmatig bewerken of opslaan van materialen en goeden, of voor agrarische doeleinden.
Brand	Gebouw	05 Industrie	brgb05	1	
Brand	Gebouw	06 Kantoor	brgb06	1	Gebruiksfunctie voor administratie
Brand	Gebouw	07 Logies	brgb07	1	Gebruiksfunctie voor het bieden van recreatief verblijf of tijdelijk onderdak aan mensen Bij de voorbeelden staan ook: vakantiehuisje, een trekkershut en stacaravan! Deze voorbeelden hebben wel logiesfunctie maar zijn geen logiesgebouw. De WOZ vertaal tabel plaatst ze bij de woningen.
Brand	Gebouw	08 Onderwijs	brgb08	1	Gebruiksfunctie voor het geven van onderwijs
Brand	Gebouw	09 Sport	brgb09	1	Gebruiksfunctie voor het beoefenen van sport (Dus niet die voor het aanschouwen van sport. Die vallen onder bijeenkomst gebouw)
Brand	Gebouw	10 Winkel	brgb10	1	Gebruiksfunctie voor het verhandelen van materialen, goederen of diensten. Bij de voorbeelden staan ook: benzinestation, (auto)showroom, kaartverkoopkantoor, praktijkruimte dierenarts, kapsalon/pedicure, zonnestudie en bordeel.
Brand	Gebouw	11 Overige	brgb11	1	Gebruiksfunctie van een deel van een gebouw, voor activiteiten waarbij het verblijven van mensen een ondergeschikte rol speelt en die niet valt onder de eerste tien meer specifiek benoemde gebruiksfuncties Met de subgroepen: voor personenvervoer, stallen motorvoertuigen, opslaan afval. Bij de voorbeelden staan: Parkeergarage, bergruimte of garage bij woning, wachtlokaal passagiers op station, telefooncel, transformatorgebouw, sanitairgebouw op camping, observatiehut in bos.
Brand	Luchtvaart		brlu	1	Brand in een op de grond staand luchtvaartuig, waarbij geen passagiers zijn betrokken / aanwezig zijn. (Bijv. een op een platform staand vliegtuig dat in de brand vliegt tijdens beladen of tanken)
Brand	Natuur		brnt	2	Brandmelding van begroeiing in een gebied wat op gebruiksdoeleinden-/natuurkaart/in GMS als natuur/bos/duin/heide/veen of riet gebied wordt aangemerkt.
Brand	Natuur	Akker/Weide	brntak	2	Brand van op akker/weide perceel aanwezige landbouwgewassen ook gras. Al dan niet gemaaid of op wiers liggend maar geen hooi/stro bulten of ander landbouwgewas (tussen) opslag op het veld waar het geoogst is.
Brand	Natuur	Bos	brntbo	2	Brandmelding van begroeiing in een gebied wat op gebruiksdoeleinden-/natuurkaart/in GMS als bosgebied wordt aangemerkt.
Brand	Natuur	Duin	brntdu	2	Brandmelding van begroeiing in een gebied wat op gebruiksdoeleinden-/natuurkaart/in GMS als duingebied wordt aangemerkt.
Brand	Natuur	Heide	brnthe	2	Brandmelding van begroeiing in een gebied wat op gebruiksdoeleinden-/natuurkaart/in GMS als heidegebied wordt aangemerkt.
